date,AI Infrastructure,Robotics and Space,Cryptocurrencies,Quantum,BIOENGINEERING,FINTECH
2015-11-30,0.004981983835254478,-0.005731875152072536,-0.001793260831748153,-4.27766987931167e-05,-0.009226129174800748,0.0028389999320375197
2015-12-01,0.016087603805773495,0.008581630585692118,0.0031135091674545506,0.011727675452615365,0.0037813599941319367,-0.001340332359766616
2015-12-02,0.0005449812870726349,-0.005476382826963614,-0.0008085207096343233,-0.004949099385424444,-0.0019331756641180495,-0.001394563830384287
2015-12-03,0.002405658054972996,-0.00454361518972835,-0.0021320528552055762,-0.010168945304114364,-0.016387594929107525,-0.007665085424389977
2015-12-04,0.01733530731113187,0.008122570491016222,0.0026581115345633787,0.014616887306947948,0.009577472010585805,0.01073109450313865
2015-12-07,-0.005822824183166912,0.000767024001474085,-0.0025347141503191876,-0.0023788950436837543,-0.011534493618266039,-0.004628377474214746
2015-12-08,-0.0035186891410282817,-0.006224873143521371,0.0014399559028152895,-0.0028277006077432267,0.005030025313421822,-0.0010173841339990062
2015-12-09,-0.016397408755735067,-0.004923080467691172,-0.002430132404534685,-0.00797707561903054,-0.008063997762933603,-0.0046003830852445375
2015-12-10,0.00925575679937866,0.007199465368032016,0.0001820468934295115,-0.000313651852670308,0.005812500890214146,0.0023127386582555754
2015-12-11,-0.018675261616485184,-0.010627131338713451,0.0011448729646700584,-0.017061528261994367,-0.018352464504236173,-0.015016220226412006
2015-12-14,-0.008949479161128373,0.00019387754505152292,0.0009077075020328243,0.0103250911302777,-0.002466349030889913,-0.00011974812177344227
2015-12-15,0.01081790219298654,0.005727771290569511,0.0029687345698673055,0.0031435652951810897,0.011650585716622777,0.0112270579172807
2015-12-16,0.014870940265553181,0.013403068609495227,-0.001452456991920532,0.016448897415493498,0.007932604011426217,-0.0008307820771546645
2015-12-17,-0.013353015271115785,-0.006317024290197563,-0.002941747763820914,-0.009181323920657045,-0.009618655604127033,-0.002448994244922433
2015-12-18,-0.011646193297532604,-0.010590853986092087,0.0018243422077309829,-0.012581988839345411,0.006013857153193129,-0.007117823685479498
2015-12-21,0.017897499068096644,0.005944356474283715,0.0013189023071139467,0.005970934504829929,0.005534834769356557,0.007262343093375961
2015-12-22,0.015637737043528572,0.0023887612200599,-0.00018536654800829671,0.007180271905553813,0.003172905493405477,0.005835977775576409
